Forecast Date,Quarter being forecasted,GDP Nowcast
5/1/14,6/30/14,3.9
5/2/14,6/30/14,4.2
5/6/14,6/30/14,4
5/9/14,6/30/14,3.7
5/12/14,6/30/14,3.6
5/13/14,6/30/14,3.6
5/15/14,6/30/14,3.2
5/16/14,6/30/14,3.2
5/22/14,6/30/14,3.2
5/23/14,6/30/14,3.2
5/27/14,6/30/14,3.1
5/30/14,6/30/14,2.7
6/2/14,6/30/14,3.2
6/3/14,6/30/14,3.1
6/4/14,6/30/14,2.6
6/6/14,6/30/14,2.7
6/10/14,6/30/14,2.9
6/11/14,6/30/14,2.9
6/12/14,6/30/14,2.9
6/16/14,6/30/14,3
6/17/14,6/30/14,2.8
6/23/14,6/30/14,2.9
6/24/14,6/30/14,3
6/26/14,6/30/14,2.2
7/1/14,6/30/14,2.5
7/2/14,6/30/14,2.4
7/3/14,6/30/14,2.6
7/10/14,6/30/14,2.6
7/11/14,6/30/14,2.5
7/15/14,6/30/14,2.7
7/16/14,6/30/14,2.7
7/17/14,6/30/14,2.7
7/22/14,6/30/14,2.7
7/24/14,6/30/14,2.7
7/25/14,6/30/14,2.7
8/4/14,9/30/14,2.6
8/5/14,9/30/14,2.6
8/6/14,9/30/14,2.8
8/8/14,9/30/14,2.9
8/12/14,9/30/14,2.8
8/13/14,9/30/14,2.7
8/15/14,9/30/14,2.9
8/19/14,9/30/14,3
8/21/14,9/30/14,3
8/25/14,9/30/14,3
8/26/14,9/30/14,3.2
8/29/14,9/30/14,2.3
9/2/14,9/30/14,3.2
9/3/14,9/30/14,3.3
9/4/14,9/30/14,3.6
9/5/14,9/30/14,3.1
9/10/14,9/30/14,3
9/11/14,9/30/14,3.1
9/12/14,9/30/14,3.4
9/15/14,9/30/14,3.2
9/17/14,9/30/14,3.2
9/18/14,9/30/14,3.2
9/22/14,9/30/14,3.2
9/24/14,9/30/14,3.3
9/25/14,9/30/14,3.3
9/29/14,9/30/14,3.6
10/1/14,9/30/14,3.3
10/2/14,9/30/14,3.1
10/3/14,9/30/14,3.2
10/9/14,9/30/14,3.2
10/15/14,9/30/14,2.9
10/16/14,9/30/14,3
10/17/14,9/30/14,3
10/21/14,9/30/14,3.1
10/22/14,9/30/14,3
10/24/14,9/30/14,2.7
10/28/14,9/30/14,2.7
10/31/14,12/31/14,2.1
11/3/14,12/31/14,3.3
11/4/14,12/31/14,3.1
11/5/14,12/31/14,3.1
11/7/14,12/31/14,2.2
11/12/14,12/31/14,2.3
11/13/14,12/31/14,2.4
11/14/14,12/31/14,2.6
11/17/14,12/31/14,2.2
11/19/14,12/31/14,2.3
11/20/14,12/31/14,2.2
11/26/14,12/31/14,2.3
12/1/14,12/31/14,3.1
12/2/14,12/31/14,3
12/5/14,12/31/14,2.1
12/9/14,12/31/14,2.1
12/11/14,12/31/14,2.2
12/15/14,12/31/14,2.6
12/16/14,12/31/14,2.7
12/17/14,12/31/14,2.8
12/23/14,12/31/14,3
1/2/15,12/31/14,3.1
1/6/15,12/31/14,3
1/7/15,12/31/14,3.3
1/9/15,12/31/14,3.5
1/13/15,12/31/14,3.8
1/14/15,12/31/14,3.4
1/16/15,12/31/14,3.5
1/21/15,12/31/14,3.5
1/23/15,12/31/14,3.5
1/27/15,12/31/14,3.5
2/2/15,3/31/15,1.9
2/3/15,3/31/15,2.3
2/5/15,3/31/15,2.1
2/6/15,3/31/15,2.2
2/10/15,3/31/15,2.3
2/12/15,3/31/15,2.2
2/13/15,3/31/15,2.3
2/18/15,3/31/15,1.9
2/23/15,3/31/15,1.8
2/26/15,3/31/15,1.7
3/2/15,3/31/15,1.2
3/5/15,3/31/15,1.3
3/6/15,3/31/15,1.2
3/10/15,3/31/15,1.4
3/12/15,3/31/15,0.6
3/13/15,3/31/15,0.8
3/16/15,3/31/15,0.4
3/17/15,3/31/15,0.3
3/23/15,3/31/15,0.3
3/24/15,3/31/15,0.3
3/25/15,3/31/15,0.2
3/30/15,3/31/15,0.2
4/1/15,3/31/15,0
4/2/15,3/31/15,0.1
4/3/15,3/31/15,0.2
4/6/15,3/31/15,0.2
4/9/15,3/31/15,0.3
4/10/15,3/31/15,0.3
4/13/15,3/31/15,0.2
4/14/15,3/31/15,0.2
4/15/15,3/31/15,0.1
4/16/15,3/31/15,0.1
4/17/15,3/31/15,0.1
4/22/15,3/31/15,0.2
4/23/15,3/31/15,0.2
4/24/15,3/31/15,0.1
4/30/15,6/30/15,0.9
5/1/15,6/30/15,0.8
5/4/15,6/30/15,0.9
5/5/15,6/30/15,0.8
5/8/15,6/30/15,0.8
5/12/15,6/30/15,0.8
5/13/15,6/30/15,0.7
5/15/15,6/30/15,0.6
5/19/15,6/30/15,0.7
5/21/15,6/30/15,0.6
5/22/15,6/30/15,0.6
5/26/15,6/30/15,0.8
6/1/15,6/30/15,0.8
6/2/15,6/30/15,0.8
6/3/15,6/30/15,1.1
6/4/15,6/30/15,1.4
6/5/15,6/30/15,1.5
6/9/15,6/30/15,1.5
6/10/15,6/30/15,1.5
6/11/15,6/30/15,1.9
6/15/15,6/30/15,2
6/16/15,6/30/15,1.9
6/18/15,6/30/15,1.9
6/22/15,6/30/15,2
6/23/15,6/30/15,2
6/25/15,6/30/15,2.1
7/1/15,6/30/15,2.2
7/2/15,6/30/15,2.2
7/6/15,6/30/15,2.1
7/7/15,6/30/15,2.3
7/10/15,6/30/15,2.5
7/13/15,6/30/15,2.6
7/14/15,6/30/15,2.4
7/15/15,6/30/15,2.3
7/17/15,6/30/15,2.4
7/22/15,6/30/15,2.4
7/24/15,6/30/15,2.4
7/27/15,6/30/15,2.4
8/6/15,9/30/15,0.9
8/7/15,9/30/15,0.9
8/11/15,9/30/15,0.6
8/12/15,9/30/15,0.7
8/13/15,9/30/15,0.7
8/14/15,9/30/15,1.2
8/18/15,9/30/15,1.3
8/19/15,9/30/15,1.3
8/20/15,9/30/15,1.3
8/26/15,9/30/15,1.4
8/28/15,9/30/15,1.2
8/29/15,9/30/15,1.4
9/1/15,9/30/15,1.3
9/2/15,9/30/15,1.4
9/3/15,9/30/15,1.5
9/4/15,9/30/15,1.4
9/10/15,9/30/15,1.4
9/11/15,9/30/15,1.3
9/15/15,9/30/15,1.5
9/16/15,9/30/15,1.4
9/17/15,9/30/15,1.5
9/21/15,9/30/15,1.4
9/24/15,9/30/15,1.4
9/28/15,9/30/15,1.8
9/29/15,9/30/15,1.1
10/1/15,9/30/15,0.9
10/2/15,9/30/15,0.7
10/5/15,9/30/15,0.9
10/6/15,9/30/15,1.1
10/9/15,9/30/15,1
10/14/15,9/30/15,0.9
10/15/15,9/30/15,0.8
10/16/15,9/30/15,0.8
10/20/15,9/30/15,0.9
10/22/15,9/30/15,0.9
10/26/15,9/30/15,0.9
10/27/15,9/30/15,0.8
10/28/15,9/30/15,1.1
10/30/15,12/31/15,2.5
11/2/15,12/31/15,1.9
11/3/15,12/31/15,1.9
11/4/15,12/31/15,2.3
11/6/15,12/31/15,2.9
11/10/15,12/31/15,2.5
11/12/15,12/31/15,2.6
11/13/15,12/31/15,2.3
11/17/15,12/31/15,2.3
11/18/15,12/31/15,2.3
11/23/15,12/31/15,2.2
11/25/15,12/31/15,1.8
11/27/15,12/31/15,1.8
12/1/15,12/31/15,1.4
12/2/15,12/31/15,1.5
12/3/15,12/31/15,1.7
12/4/15,12/31/15,1.5
12/9/15,12/31/15,1.7
12/10/15,12/31/15,1.7
12/11/15,12/31/15,1.9
12/15/15,12/31/15,2
12/16/15,12/31/15,1.9
12/23/15,12/31/15,1.3
12/29/15,12/31/15,1.2
1/4/16,12/31/15,0.7
1/6/16,12/31/15,1
1/7/16,12/31/15,0.9
1/8/16,12/31/15,0.8
1/13/16,12/31/15,0.8
1/14/16,12/31/15,0.8
1/15/16,12/31/15,0.6
1/20/16,12/31/15,0.7
1/22/16,12/31/15,0.9
1/27/16,12/31/15,0.9
1/28/16,12/31/15,1
2/1/16,3/31/16,1.2
2/3/16,3/31/16,1.4
2/4/16,3/31/16,1.5
2/5/16,3/31/16,2.2
2/9/16,3/31/16,2.5
2/10/16,3/31/16,2.5
2/12/16,3/31/16,2.7
2/17/16,3/31/16,2.6
2/19/16,3/31/16,2.4
2/23/16,3/31/16,2.4
2/24/16,3/31/16,2.4
2/25/16,3/31/16,2.5
2/26/16,3/31/16,2.1
3/1/16,3/31/16,1.9
3/2/16,3/31/16,1.9
3/3/16,3/31/16,2
3/4/16,3/31/16,2.2
3/9/16,3/31/16,2.2
3/10/16,3/31/16,2.3
3/11/16,3/31/16,2.3
3/15/16,3/31/16,1.9
3/16/16,3/31/16,1.9
3/21/16,3/31/16,1.7
3/23/16,3/31/16,1.6
3/24/16,3/31/16,1.4
3/28/16,3/31/16,0.6
4/1/16,3/31/16,0.7
4/4/16,3/31/16,0.4
4/5/16,3/31/16,0.4
4/8/16,3/31/16,0.1
4/12/16,3/31/16,0.1
4/13/16,3/31/16,0.3
4/14/16,3/31/16,0.4
4/15/16,3/31/16,0.4
4/19/16,3/31/16,0.3
4/20/16,3/31/16,0.4
4/25/16,3/31/16,0.4
4/26/16,3/31/16,0.4
4/27/16,3/31/16,0.6
4/29/16,6/30/16,1.8
5/2/16,6/30/16,1.8
5/4/16,6/30/16,1.7
5/5/16,6/30/16,2.1
5/6/16,6/30/16,2.2
5/10/16,6/30/16,2.2
5/11/16,6/30/16,2.3
5/12/16,6/30/16,2.3
5/13/16,6/30/16,2.8
5/17/16,6/30/16,2.5
5/18/16,6/30/16,2.4
5/20/16,6/30/16,2.4
5/24/16,6/30/16,2.6
5/25/16,6/30/16,2.8
5/26/16,6/30/16,2.9
5/31/16,6/30/16,2.9
6/1/16,6/30/16,2.5
6/2/16,6/30/16,2.5
6/3/16,6/30/16,2.5
6/9/16,6/30/16,2.5
6/10/16,6/30/16,2.5
6/14/16,6/30/16,2.8
6/15/16,6/30/16,2.7
6/16/16,6/30/16,2.7
6/17/16,6/30/16,2.8
6/22/16,6/30/16,2.8
6/23/16,6/30/16,2.7
6/24/16,6/30/16,2.6
6/27/16,6/30/16,2.5
6/29/16,6/30/16,2.7
7/1/16,6/30/16,2.6
7/5/16,6/30/16,2.4
7/6/16,6/30/16,2.4
7/8/16,6/30/16,2.4
7/12/16,6/30/16,2.3
7/13/16,6/30/16,2.3
7/15/16,6/30/16,2.4
7/19/16,6/30/16,2.4
7/21/16,6/30/16,2.4
7/26/16,6/30/16,2.4
7/27/16,6/30/16,2.3
7/28/16,6/30/16,1.8
8/3/16,9/30/16,3.6
8/4/16,9/30/16,3.7
8/5/16,9/30/16,3.8
8/9/16,9/30/16,3.7
8/10/16,9/30/16,3.7
8/11/16,9/30/16,3.7
8/12/16,9/30/16,3.5
8/16/16,9/30/16,3.6
8/23/16,9/30/16,3.6
8/24/16,9/30/16,3.4
8/25/16,9/30/16,3.4
8/29/16,9/30/16,3.5
9/1/16,9/30/16,3.2
9/2/16,9/30/16,3.5
9/6/16,9/30/16,3.4
9/9/16,9/30/16,3.3
9/13/16,9/30/16,3.2
9/14/16,9/30/16,3.2
9/15/16,9/30/16,3
9/16/16,9/30/16,2.9
9/20/16,9/30/16,2.9
9/22/16,9/30/16,2.9
9/26/16,9/30/16,2.8
9/28/16,9/30/16,2.8
9/30/16,9/30/16,2.4
10/3/16,9/30/16,2.2
10/5/16,9/30/16,2.2
10/7/16,9/30/16,2.1
10/13/16,9/30/16,2.1
10/14/16,9/30/16,1.9
10/15/16,9/30/16,2
10/17/16,9/30/16,2
10/18/16,9/30/16,2
10/19/16,9/30/16,2
10/20/16,9/30/16,2.1
10/26/16,9/30/16,2.1
10/27/16,9/30/16,2.1
10/31/16,12/31/16,2.7
11/1/16,12/31/16,2.3
11/2/16,12/31/16,2.9
11/3/16,12/31/16,3.1
11/4/16,12/31/16,3.1
11/9/16,12/31/16,3.1
11/10/16,12/31/16,3.1
11/15/16,12/31/16,3.3
11/16/16,12/31/16,3.3
11/17/16,12/31/16,3.6
11/22/16,12/31/16,3.6
11/23/16,12/31/16,3.6
11/25/16,12/31/16,3.1
11/30/16,12/31/16,2.4
12/1/16,12/31/16,2.9
12/2/16,12/31/16,2.6
12/5/16,12/31/16,2.6
12/6/16,12/31/16,2.6
12/9/16,12/31/16,2.6
12/12/16,12/31/16,2.6
12/13/16,12/31/16,2.6
12/14/16,12/31/16,2.4
12/15/16,12/31/16,2.6
12/16/16,12/31/16,2.6
12/21/16,12/31/16,2.5
12/22/16,12/31/16,2.5
12/23/16,12/31/16,2.5
12/29/16,12/31/16,2.5
1/3/17,12/31/16,2.9
1/5/17,12/31/16,2.9
1/6/17,12/31/16,2.9
1/10/17,12/31/16,2.9
1/12/17,12/31/16,2.9
1/13/17,12/31/16,2.8
1/18/17,12/31/16,2.8
1/19/17,12/31/16,2.8
1/24/17,12/31/16,2.8
1/26/17,12/31/16,2.9
1/30/17,3/31/17,2.3
2/1/17,3/31/17,3.4
2/2/17,3/31/17,3.1
2/3/17,3/31/17,2.7
2/7/17,3/31/17,2.7
2/9/17,3/31/17,2.7
2/10/17,3/31/17,2.7
2/15/17,3/31/17,2.2
2/16/17,3/31/17,2.4
2/22/17,3/31/17,2.5
2/24/17,3/31/17,2.5
2/27/17,3/31/17,2.5
2/28/17,3/31/17,2.2
3/1/17,3/31/17,1.8
3/2/17,3/31/17,1.5
3/3/17,3/31/17,1.5
3/6/17,3/31/17,1.3
3/7/17,3/31/17,1.3
3/8/17,3/31/17,1.2
3/9/17,3/31/17,1.2
3/10/17,3/31/17,0.9
3/14/17,3/31/17,0.9
3/15/17,3/31/17,0.9
3/16/17,3/31/17,0.9
3/17/17,3/31/17,1
3/22/17,3/31/17,0.9
3/23/17,3/31/17,1
3/24/17,3/31/17,1
3/27/17,3/31/17,1.1
3/28/17,3/31/17,1.3
3/31/17,3/31/17,0.9
4/3/17,3/31/17,1.2
4/4/17,3/31/17,1.2
4/5/17,3/31/17,0.8
4/7/17,3/31/17,0.6
4/12/17,3/31/17,0.7
4/13/17,3/31/17,0.7
4/14/17,3/31/17,0.5
4/18/17,3/31/17,0.5
4/21/17,3/31/17,0.5
4/25/17,3/31/17,0.5
4/26/17,3/31/17,0.4
4/27/17,3/31/17,0.2
5/1/17,6/30/17,4.3
5/3/17,6/30/17,4
5/4/17,6/30/17,4.2
5/5/17,6/30/17,3.7
5/9/17,6/30/17,3.6
5/10/17,6/30/17,3.5
5/12/17,6/30/17,3.6
5/16/17,6/30/17,4.1
5/18/17,6/30/17,4
5/23/17,6/30/17,3.9
5/24/17,6/30/17,3.8
5/25/17,6/30/17,3.6
5/26/17,6/30/17,3.7
5/30/17,6/30/17,3.8
6/1/17,6/30/17,4
6/2/17,6/30/17,3.4
6/5/17,6/30/17,3.1
6/9/17,6/30/17,3
6/12/17,6/30/17,3
6/13/17,6/30/17,3
6/14/17,6/30/17,3.2
6/15/17,6/30/17,2.9
6/16/17,6/30/17,2.9
6/21/17,6/30/17,2.8
6/23/17,6/30/17,3
6/26/17,6/30/17,2.9
6/28/17,6/30/17,2.7
6/30/17,6/30/17,2.7
7/3/17,6/30/17,3
7/5/17,6/30/17,2.6
7/6/17,6/30/17,2.7
7/7/17,6/30/17,2.5
7/11/17,6/30/17,2.6
7/13/17,6/30/17,2.7
7/14/17,6/30/17,2.4
7/18/17,6/30/17,2.5
7/19/17,6/30/17,2.5
7/24/17,6/30/17,2.5
7/26/17,6/30/17,2.5
7/27/17,6/30/17,2.8
8/3/17,9/30/17,4
8/4/17,9/30/17,3.7
8/9/17,9/30/17,3.5
8/10/17,9/30/17,3.6
8/15/17,9/30/17,3.7
8/16/17,9/30/17,3.8
8/17/17,9/30/17,3.5
8/23/17,9/30/17,3.4
8/24/17,9/30/17,3.3
8/25/17,9/30/17,3.4
8/28/17,9/30/17,3.3
8/31/17,9/30/17,3.3
9/1/17,9/30/17,3.2
9/5/17,9/30/17,2.8
9/6/17,9/30/17,2.9
9/8/17,9/30/17,3
9/13/17,9/30/17,3
9/15/17,9/30/17,2.2
9/19/17,9/30/17,2.2
9/20/17,9/30/17,2.1
9/26/17,9/30/17,2.1
9/27/17,9/30/17,2.1
9/29/17,9/30/17,2.3
10/2/17,9/30/17,2.7
10/4/17,9/30/17,2.9
10/5/17,9/30/17,2.8
10/6/17,9/30/17,2.5
10/12/17,9/30/17,2.5
10/13/17,9/30/17,2.7
10/17/17,9/30/17,2.7
10/18/17,9/30/17,2.7
10/20/17,9/30/17,2.6
10/25/17,9/30/17,2.7
10/26/17,9/30/17,2.5
10/30/17,12/31/17,2.9
11/1/17,12/31/17,4.5
11/2/17,12/31/17,4.3
11/3/17,12/31/17,3.3
11/9/17,12/31/17,3.3
11/13/17,12/31/17,3.3
11/14/17,12/31/17,3.3
11/15/17,12/31/17,3.2
11/16/17,12/31/17,3.5
11/17/17,12/31/17,3.4
11/21/17,12/31/17,3.4
11/22/17,12/31/17,3.4
11/27/17,12/31/17,3.5
11/28/17,12/31/17,3
11/30/17,12/31/17,2.7
12/1/17,12/31/17,3.5
12/4/17,12/31/17,3.2
12/5/17,12/31/17,3.2
12/8/17,12/31/17,2.9
12/12/17,12/31/17,2.8
12/14/17,12/31/17,3.3
12/15/17,12/31/17,3.1
12/19/17,12/31/17,3.3
12/20/17,12/31/17,3.3
12/22/17,12/31/17,2.8
12/28/17,12/31/17,2.7
1/3/18,12/31/17,3.2
1/4/18,12/31/17,3.1
1/5/18,12/31/17,2.7
1/10/18,12/31/17,2.8
1/11/18,12/31/17,2.8
1/12/18,12/31/17,3.3
1/17/18,12/31/17,3.4
1/18/18,12/31/17,3.4
1/24/18,12/31/17,3.4
1/25/18,12/31/17,3.4
1/29/18,3/31/18,4.2
2/1/18,3/31/18,5.4
2/2/18,3/31/18,4
2/5/18,3/31/18,4
2/6/18,3/31/18,4
2/9/18,3/31/18,4
2/12/18,3/31/18,4
2/14/18,3/31/18,3.2
2/15/18,3/31/18,3.1
2/16/18,3/31/18,3.2
2/21/18,3/31/18,3.1
2/26/18,3/31/18,3
2/27/18,3/31/18,2.6
3/1/18,3/31/18,3.5
3/2/18,3/31/18,3.2
3/5/18,3/31/18,3.1
3/6/18,3/31/18,3
3/7/18,3/31/18,2.8
3/9/18,3/31/18,2.5
3/12/18,3/31/18,2.5
3/14/18,3/31/18,1.9
3/15/18,3/31/18,1.8
3/16/18,3/31/18,1.8
3/21/18,3/31/18,1.9
3/23/18,3/31/18,1.8
3/29/18,3/31/18,2.4
4/2/18,3/31/18,2.8
4/4/18,3/31/18,2.5
4/5/18,3/31/18,2.3
4/6/18,3/31/18,2
4/10/18,3/31/18,2
4/11/18,3/31/18,2
4/12/18,3/31/18,2
4/16/18,3/31/18,1.9
4/17/18,3/31/18,2
4/23/18,3/31/18,2
4/24/18,3/31/18,2
4/26/18,3/31/18,2
4/30/18,6/30/18,4.1
5/1/18,6/30/18,4.1
5/2/18,6/30/18,3.9
5/3/18,6/30/18,4
5/4/18,6/30/18,3.9
