model,horizon,release_stage,months_to_first_release_bucket,rmse,mae,rmse_log_level,mae_log_level,rel_rmse,sample_count
ar4,1,first,all,13.536073454968037,5.717755424547916,0.03719783490383536,0.016565436638165742,1.5494502523984763,30
auto_arima_growth,1,first,all,10.104838552592435,4.18992098521135,0.02804689004371674,0.012293950344124067,1.156682896103357,30
auto_ets_growth,1,first,all,10.363139362540998,4.2610537712745,0.02868233003833125,0.01246316450105862,1.1862501303903903,30
bvar_minnesota_growth_20,1,first,all,16.28273805844218,5.9279123120225945,0.04837157256570579,0.018165391272102423,1.8638560641920725,30
bvar_minnesota_growth_8,1,first,all,10.990981923068304,4.874788388981917,0.030119008390519095,0.014026763417443118,1.2581181515792452,30
ensemble_leaderboard_top3,1,first,all,10.37485273481498,4.392757577365275,0.02880507889207105,0.012719546774332418,1.187590939280556,30
ensemble_leaderboard_top5,1,first,all,10.908018414986365,4.405137379150834,0.030173539340112278,0.012974743527765398,1.2486214663724844,30
factor_pca_qd_growth,1,first,all,12.857675835487196,5.17441459777522,0.0352741164261301,0.014999561032047855,1.47179528353117,30
mean_growth,1,first,all,8.736514216319993,3.7653679721542375,0.02539674482119449,0.011196981767813459,1.000053243105857,30
rw_drift_log,1,first,all,8.73604908193395,3.747738440900325,0.02539770127888089,0.011145213642822328,1.0,30
theta_growth,1,first,all,10.421470640573713,4.236067726523537,0.02882473455889392,0.012387639970481127,1.192927208035632,30
xgboost_growth,1,first,all,13.09722286643073,5.584466581259376,0.03521253722108724,0.0157936441062193,1.4992158060919822,30
ar4,2,first,all,10.636961568025054,4.905128780952871,0.05600506904649268,0.026393364698612157,1.199382844727742,29
auto_arima_growth,2,first,all,9.314511688150356,4.283758757149981,0.03916242696333373,0.020429978446242433,1.0502684863848577,29
auto_ets_growth,2,first,all,9.50554537552264,4.499140811977195,0.041890586296164746,0.021541665244528524,1.0718087096839761,29
bvar_minnesota_growth_20,2,first,all,9.356186510212847,4.5569409851948395,0.05839802563285141,0.026446028204458936,1.0549675789141648,29
bvar_minnesota_growth_8,2,first,all,9.791639891598496,4.909093129220306,0.04405878435230518,0.024569147843146816,1.1040676261384215,29
ensemble_leaderboard_top3,2,first,all,9.68754000679683,4.585264916891687,0.04232470377777924,0.021447501371988066,1.0923297238088152,29
ensemble_leaderboard_top5,2,first,all,9.762745395791478,4.566361362387388,0.044460540811429715,0.0220531379537809,1.1008095940061846,29
factor_pca_qd_growth,2,first,all,11.743562358583134,5.720313106344725,0.05713983987319738,0.02639357146756838,1.324158890562788,29
mean_growth,2,first,all,8.872819002512092,3.8582605454517087,0.034581893427979404,0.01843226470669769,1.0004649192281685,29
rw_drift_log,2,first,all,8.86869577531737,3.8363430922648067,0.03461605000821519,0.018379022821710896,1.0,29
theta_growth,2,first,all,9.549934668343495,4.432844218983036,0.04190641110296055,0.02097327417761351,1.0768138754879937,29
xgboost_growth,2,first,all,11.73375016106514,6.1033183861030915,0.05745216179408389,0.029268572662283703,1.3230525049378237,29
ar4,3,first,all,10.167817816107837,4.644187559393799,0.07102935715443717,0.03468606736339216,1.1269563249014956,28
auto_arima_growth,3,first,all,9.122003326763739,4.260510003544771,0.04707463370952682,0.027287560749171127,1.0110428344401654,28
auto_ets_growth,3,first,all,9.622124977113977,4.597899131728882,0.0532276140367311,0.029320182588706993,1.066474124346786,28
bvar_minnesota_growth_20,3,first,all,10.239630747727489,5.707162194113934,0.07239637051808397,0.037252970921269606,1.134915755229828,28
bvar_minnesota_growth_8,3,first,all,10.22810445939894,5.357624013792152,0.056551850889582776,0.034291737512300254,1.1336382319923521,28
ensemble_leaderboard_top3,3,first,all,9.643475770201821,4.5455744271654845,0.053183735416349125,0.029335847925471854,1.0688405525959124,28
ensemble_leaderboard_top5,3,first,all,9.658160612235054,4.485383936102466,0.055733537933945865,0.029716522737865642,1.0704681560708011,28
factor_pca_qd_growth,3,first,all,11.359627731900828,5.666903709613119,0.07754176082849558,0.0382047004556851,1.259051308011388,28
mean_growth,3,first,all,9.027177611812714,3.9791243602003257,0.04100886895622397,0.024920710423892687,1.000532768154549,28
rw_drift_log,3,first,all,9.022370779982605,3.9528381564858805,0.0410920489791452,0.02484551541955447,1.0,28
theta_growth,3,first,all,9.66355147591305,4.512902564670253,0.05296705608982053,0.028698465705281846,1.0710656557534737,28
xgboost_growth,3,first,all,11.416836149806716,6.044202237098695,0.0775580987290821,0.04159863018452491,1.265392038103396,28
ar4,4,first,all,10.082835587690031,5.024962423167187,0.08386436660081445,0.04393436757291789,1.0977117749619645,27
auto_arima_growth,4,first,all,9.295362755281465,4.363846168146335,0.0546585000888809,0.03436755663870062,1.0119801181200254,27
auto_ets_growth,4,first,all,9.81531450893319,4.723993102911735,0.06391351550491868,0.037513160569619675,1.0685869285189225,27
bvar_minnesota_growth_20,4,first,all,10.01235811035817,5.877133116763604,0.08202650102359095,0.0459428207366362,1.0900389376867785,27
bvar_minnesota_growth_8,4,first,all,10.362302988871049,5.50356474502405,0.0694258831335724,0.045348351125190374,1.128137209783986,27
ensemble_leaderboard_top3,4,first,all,9.959702250790938,5.001765140680555,0.06377405126123083,0.03765990156018538,1.0843063283860515,27
ensemble_leaderboard_top5,4,first,all,9.843547204278053,4.760675660980173,0.0661827750467105,0.03774031275839186,1.0716606037613123,27
factor_pca_qd_growth,4,first,all,12.148645185114255,6.335645892076777,0.09989861398406427,0.0513087475348777,1.3226151268216892,27
mean_growth,4,first,all,9.190696994085542,4.0885051251097435,0.04637546847749198,0.030274956410440583,1.0005852245406446,27
rw_drift_log,4,first,all,9.185321518519194,4.062418161903245,0.04652818164978386,0.0302691776106318,1.0,27
theta_growth,4,first,all,9.869490507172461,4.706277453515049,0.06363317013881434,0.035806966681518275,1.0744850343315544,27
xgboost_growth,4,first,all,11.882968372699132,6.591876701002485,0.09853567730283513,0.055618510626592184,1.2936910644598576,27
